Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Item Code,Quantity,Unit Price,Carbohydrates (g),Fiber (g),Protein (g),Fat (g),Total Price
7/9/2023,45,11.25,0,0,DESA APLHA NA DE COCO GRAPE 450G,PKS3808,1, RM2.30 ,45,11.25,0,0,2.30
7/9/2023,90,22.5,0,0,DESA APLHA NA DE COCO MANGO 450G,PKS3810,2, RM2.30 ,45,11.25,0,0,4.60
19/5/2023,640,0,80,275,D-JACK ANGRY BITE CHEESE 1KG,PKS4856,1, RM9.65 ,640,0,80,275,9.65
31/1/2023,88,0,0,0,DOLPHIN FRUITS JELLY STICK 360G,PKS6307,5, RM2.30 ,17.6,0,0,0,11.50
19/9/2023,17.6,0,0,0,DOLPHIN FRUITS JELLY STICK 360G,PKS6307,1, RM2.20 ,17.6,0,0,0,2.20
31/1/2023,108.16,5.44,5.44,0,DOLPHIN FRUITS PUDDING W/NATA DE COCO 40GX8PCS,PKS6302,1, RM2.50 ,108.16,5.44,5.44,0,2.50
31/1/2023,432,36,0,0,DOLPHIN KONJAC JELLY GRAPE 15PCS,PKS6215,8, RM4.40 ,54,4.5,0,0,35.20
26/6/2023,378,31.5,0,0,DOLPHIN KONJAC JELLY PEACH 15PCS,PKS6218,7, RM4.40 ,54,4.5,0,0,30.80
24/7/2023,54,4.5,0,0,DOLPHIN KONJAC JELLY PEACH 15PCS,PKS6218,1, RM4.40 ,54,4.5,0,0,4.40
31/1/2023,173.056,8.704,8.704,0,DOLPHIN MANGO JELLY W/NATA DE COCO 32GX8PCS,PKS6306,2, RM2.50 ,86.53,4.35,4.35,0,5.00
31/1/2023,150,30,0,0,DOLPHIN MIX FRUIT NATA JELLY 100PCS,PKS6213,1, RM7.90 ,150,30,0,0,7.90
1/2/2023,750,150,0,0,DOLPHIN MIX FRUIT NATA JELLY 100PCS,PKS6213,5, RM7.90 ,150,30,0,0,39.50
12/6/2023,101.4,5.1,5.1,0,DOLPHIN MIX FRUIT NATA PUDDING 85GX6PCS,PKS6212,1, RM4.15 ,101.4,5.1,5.1,0,4.15
1/2/2023,304.2,15.3,15.3,0,DOLPHIN MIX FRUIT NATA PUDDING 85GX6PCS,PKS6212,3, RM4.15 ,101.4,5.1,5.1,0,12.45
31/1/2023,76.8,15.36,0,0,DOLPHIN MIXED FRUIT JELLY W/NATA DE COCO 256G,PKS6304,6, RM1.50 ,12.8,2.56,0,0,9.00
28/8/2023,25.6,5.12,0,0,DOLPHIN MIXED FRUIT JELLY W/NATA DE COCO 256G,PKS6304,2, RM1.50 ,12.8,2.56,0,0,3.00
26/6/2023,51.2,10.24,0,0,DOLPHIN MIXED FRUIT JELLY W/NATA DE COCO 256G,PKS6304,4, RM1.50 ,12.8,2.56,0,0,6.00
14/2/2023,76.8,15.36,0,0,DOLPHIN MIXED FRUIT JELLY W/NATA DE COCO 256G,PKS6304,6, RM1.50 ,12.8,2.56,0,0,9.00
19/9/2023,101.4,5.1,5.1,0,DOLPHIN MIXED FRUIT NATA JELLY 130GX3PCS,PKS6214,1, RM2.40 ,101.4,5.1,5.1,0,2.40
31/1/2023,450,30,0,0,DOLPHIN NATA DE COCO KIWI 1.5KG,PKS3519,1, RM6.10 ,450,30,0,0,6.10
12/6/2023,450,30,0,0,DOLPHIN NATA DE COCO KIWI 1.5KG,PKS3519,1, RM6.10 ,450,30,0,0,6.10
14/2/2023,450,30,0,0,DOLPHIN NATA DE COCO MANGO 1.5KG,PKS6008,1, RM6.10 ,450,30,0,0,6.10
19/9/2023,16.2,5.4,0,0,DOLPHIN NATA DE COCO MANGO 270ML,PKS1805,1, RM1.33 ,16.2,5.4,0,0,1.33
