Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Unit Price
20/1/2023,123.3,0,265.5,460.8,ZIZI KUACI BUTTER 108G, RM1.90 
25/1/2023,250,0,925,1380,MEGA FOOD AUSTRALIAN CHEDDAR 12SLICES, RM8.39 
25/1/2023,0,0,17.5,1400,MEGA FOOD BUTTER SALTED 250G, RM8.40 
25/1/2023,13.5,0,13.5,1847.25,MEGA FOOD BUTTER UNSALTED 250G, RM8.40 
31/1/2023,88,0,0,0,DOLPHIN FRUITS JELLY STICK 360G, RM2.30 
31/1/2023,108.16,5.44,5.44,0,DOLPHIN FRUITS PUDDING W/NATA DE COCO 40GX8PCS, RM2.50 
31/1/2023,432,36,0,0,DOLPHIN KONJAC JELLY GRAPE 15PCS, RM4.40 
31/1/2023,173.056,8.704,8.704,0,DOLPHIN MANGO JELLY W/NATA DE COCO 32GX8PCS, RM2.50 
31/1/2023,150,30,0,0,DOLPHIN MIX FRUIT NATA JELLY 100PCS, RM7.90 
31/1/2023,76.8,15.36,0,0,DOLPHIN MIXED FRUIT JELLY W/NATA DE COCO 256G, RM1.50 
31/1/2023,450,30,0,0,DOLPHIN NATA DE COCO KIWI 1.5KG, RM6.10 
31/1/2023,129.6,43.2,0,0,DOLPHIN NATA DE COCO W/LYCHEE DRINK 800G, RM3.70 
31/1/2023,129.6,43.2,0,0,DOLPHIN NATA DE COCO W/MANGO DRINK 430G, RM2.40 
31/1/2023,64.8,21.6,0,0,DOLPHIN NATA DE COCO W/MANGO DRINK 800G, RM3.70 
31/1/2023,129.6,43.2,0,0,DOLPHIN NATA DE COCO W/STRAW DRINK 800G, RM3.70 
31/1/2023,66,13.5,0,0,DOLPHIN YOGO SNAPZ FRUITS PUDDING STICK 45MLX8PCS, RM2.50 
31/1/2023,615.6,0,280.8,129.6,DUTCH LADY LOW FAT 450ML, RM3.73 
1/2/2023,1520,0,80,560,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS, RM7.00 
